source_file,sheet_name,column_name,dtype,row_count,null_count,null_pct,distinct_count
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Captured By,object,2731,0,0.0,1
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Date first captured (YYYY/MM/DD),datetime64[ns],2731,0,0.0,36
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Course Name,object,2731,0,0.0,269
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Method of Delivery (Training modality),object,2731,0,0.0,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Start date (YYYY/MM/DD),datetime64[ns],2731,0,0.0,40
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,End date (YYYY/MM/DD),datetime64[ns],2731,0,0.0,39
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Booking/enrollment status,object,2731,0,0.0,4
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Training Venue,object,2731,0,0.0,18
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Presenter/Facilitator name and surname,object,2731,0,0.0,42
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Contracted Provider,object,2731,316,11.6,4
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,"Funding Partner- If not PDC (eg. NDOH, Love Life, Soul City)",object,2731,2387,87.4,6
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Coordinator,object,2731,66,2.4,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Participant Surname,object,2731,6,0.2,1303
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Participant First name,object,2731,4,0.1,1426
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Email Address,object,2731,39,1.4,1960
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Gender,object,2731,98,3.6,3
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Race,object,2731,241,8.8,9
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Disability,object,2731,75,2.7,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Employer Group,object,2731,106,3.9,7
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,"Employer details (eg: WCCN, Anova, Pollsmoor)",object,2731,2489,91.1,153
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,ID number,float64,2731,231,8.5,1649
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Persal/Employee number,float64,2731,144,5.3,1651
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Professional Category,object,2731,43,1.6,45
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Profession,object,2731,124,4.5,47
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Job Title/Rank (if different),object,2731,1864,68.3,504
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Professional Registration Number,object,2731,163,6.0,1774
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,District,object,2731,40,1.5,73
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Sub-structure/ sub-district,object,2731,923,33.8,28
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Facility,object,2731,435,15.9,448
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,"If Facility not on the list, please provide details (Facility name/work location)",object,2731,2382,87.2,245
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Supervisor Email,object,2731,173,6.3,1321
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,HRD Representative Email,object,2731,160,5.9,226
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Attendance status,object,2731,6,0.2,5
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Certificate Number,object,2731,0,0.0,2731
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Date Electronic Certificate Issued to HRD (YYYY/MM/DD),datetime64[ns],2731,2078,76.1,1
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Competency status (leave for now),float64,2731,2731,100.0,0
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer1,Date finalised (YYYY/MM/DD),datetime64[ns],2731,2078,76.1,1
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Captured By,object,6701,0,0.0,1
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Date first captured (YYYY/MM/DD),datetime64[ns],6701,0,0.0,74
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Course Name,object,6701,0,0.0,497
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Method of Delivery (Training modality),object,6701,0,0.0,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Start date (YYYY/MM/DD),datetime64[ns],6701,0,0.0,153
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,End date (YYYY/MM/DD),datetime64[ns],6701,0,0.0,152
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Booking/enrollment status,object,6701,0,0.0,1
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Training Venue,object,6701,0,0.0,56
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Presenter/Facilitator name and surname,object,6701,677,10.1,95
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Contracted Provider,object,6701,0,0.0,6
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,"Funding Partner- If not PDC (eg. NDOH, Love Life, Soul City)",float64,6701,6701,100.0,0
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Coordinator,object,6701,0,0.0,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Participant Surname,object,6701,4,0.1,2970
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Participant First name,object,6701,4,0.1,3195
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Email Address,object,6701,236,3.5,4631
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Gender,object,6701,143,2.1,3
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Race,object,6701,143,2.1,5
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Disability,object,6701,221,3.3,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Employer Group,object,6701,31,0.5,6
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,"Employer details (eg: WCCN, Anova, Pollsmoor)",object,6701,6666,99.5,24
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,ID number,float64,6701,525,7.8,4157
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Persal/Employee number,float64,6701,763,11.4,3739
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Professional Category,object,6701,62,0.9,49
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Profession,object,6701,359,5.4,44
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Job Title/Rank (if different),object,6701,6210,92.7,205
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Professional Registration Number,object,6701,1284,19.2,3508
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,District,object,6701,195,2.9,79
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Sub-structure/ sub-district,object,6701,5102,76.1,48
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Facility,object,6701,583,8.7,654
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,"If Facility not on the list, please provide details (Facility name/work location)",object,6701,6548,97.7,71
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Supervisor Email,object,6701,1314,19.6,2145
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,HRD Representative Email,object,6701,1032,15.4,401
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Attendance status,object,6701,35,0.5,4
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Certificate Number,object,6701,0,0.0,6701
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Date Electronic Certificate Issued to HRD (YYYY/MM/DD),float64,6701,6701,100.0,0
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Competency status (leave for now),float64,6701,6701,100.0,0
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer2,Date finalised (YYYY/MM/DD),float64,6701,6701,100.0,0
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Captured By,object,2175,35,1.6,1
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Date first captured (YYYY/MM/DD),datetime64[ns],2175,35,1.6,21
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Course Name,object,2175,35,1.6,166
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Method of Delivery (Training modality),object,2175,35,1.6,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Start date (YYYY/MM/DD),datetime64[ns],2175,35,1.6,22
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,End date (YYYY/MM/DD),datetime64[ns],2175,35,1.6,22
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Booking/enrollment status,object,2175,2086,95.9,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Training Venue,object,2175,35,1.6,7
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Presenter/Facilitator name and surname,object,2175,272,12.5,18
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Contracted Provider,object,2175,315,14.5,4
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,"Funding Partner- If not PDC (eg. NDOH, Love Life, Soul City)",float64,2175,2175,100.0,0
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Coordinator,object,2175,35,1.6,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Participant Surname,object,2175,35,1.6,1260
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Participant First name,object,2175,37,1.7,1337
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Email Address,object,2175,56,2.6,1456
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Gender,object,2175,49,2.3,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Race,object,2175,136,6.3,4
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Disability,object,2175,228,10.5,2
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Employer Group,object,2175,44,2.0,7
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,"Employer details (eg: WCCN, Anova, Pollsmoor)",object,2175,2163,99.4,1
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,ID number,float64,2175,71,3.3,1409
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Persal/Employee number,float64,2175,185,8.5,1282
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Professional Category,object,2175,38,1.7,37
Capturing Tool_V1c V2-27 January 2026_SCRUBBED.xlsx,Capturer3,Profession,object,2175,70,3.2,43
